'cause	k AH z
recollections	r EH k AH l EH k SH AH n z
recollects	r EH k AH l EH k t s
recombine	r IY k AH m b AY n
reconfirmation	r IY k AA n f ER m EY SH AH n
reconnects	r IY k AH n EH k t s
reconsider	r IY k AH n s IH d ER
reconsideration	r IY k AH n s IH d ER EY SH AH n
reconvened	r IY k AH n v IY n d
reconvenes	r IY k AH n v IY n z
record	r AH k AO r d
record(2)	r EH k ER d
recordable	r IH k AO r d AH b AH l
recorded	r AH k AO r d IH d
recorded(2)	r IH k AO r d IH d
recorder	r IH k AO r d ER
recording	r AH k AO r d IH NG
records	r AH k AO r d z
recore	r EH k AO r IY
recounts	r IY k AW n t s
recovery's(2)	r IH k AH v r IY z
recreation	r EH k r IY EY SH AH n
recross	r IY k r AO s
recruited(2)	r IY k r UW t IH d
recruiting	r AH k r UW t IH NG
recruiting(2)	r IH k r UW t IH NG
rectangular	r EH k t AE NG g j AH l ER
rectifier	r EH k t AH f AY ER
recuperation	r IH k UW p ER EY SH AH n
recur	r IH k ER
recycling(2)	r IY s AY k l IH NG
red-eye's	r EH d AY z
redcay	r EH d k EY
redco	r EH d k OW
reddick	r EH d IH k
reddish	r EH d IH SH
redecoration	r IY d EH k ER EY SH AH n
rededicate	r IY d EH d AH k EY t
redefinition	r IY d EH f AH n IH SH AH n
redel	r EH d AH l
redeploy	r IY d IH p l OY
redeposition	r IY d EH p AH z IH SH AH n
redesign	r IY d IH z AY n
redford's	r EH d f ER d z
redgrave	r EH d g r EY v
redhead	r EH d h EH d
reding	r IY d IH NG
redington	r EH d IH NG t AH n
redirection	r IY d ER EH k SH AH n
redistributing	r IY d IH s t r IH b j UW t IH NG
redistributing(2)	r IY d IH s t r IH b j AH t IH NG
redlich	r EH d l IH k
redlinger	r EH d AH l IH NG ER
redmon	r EH d m AH n
redner	r EH d n ER
redo	r IY d UW
redoing	r IY d UW IH NG
redouble	r IY d AH b AH l
redoubled	r IY d AH b AH l d
redoubling(2)	r IY d AH b l IH NG
redoubt	r IY d AW t
redound	r IY d AW n d
redraw	r IY d r AO
redrawing	r IY d r AO IH NG
reds'	r EH d z
reduced	r AH d UW s t
reduced(2)	r IH d UW s t
reducible	r AH d UW s AH b AH l
reducing	r AH d UW s IH NG
redwood	r EH d w UH d
reeb	r IY b
reebok	r IY b AA k
reeboks	r IY b AA k s
reed	r IY d
reeds	r IY d z
reeking	r IY k IH NG
reeks	r IY k s
reelection	r IY IH l EH k SH AH n
reemerge	r IY IH m ER JH
reep	r IY p
reeser	r IY s ER
reesman	r IY s m AH n
reesor	r IY s ER
reevaluated	r IY IH v AE l j UW EY t IH d
reeves's	r IY v z IH z
reexport	r IY EH k s p AO r t
refenes(2)	r IH f IY n z
referee	r EH f ER IY
referees	r EH f ER IY z
referenda	r EH f ER EH n d AH
referendum	r EH f ER EH n d AH m
referred	r AH f ER d
refers	r AH f ER z
reff	r EH f
refill(2)	r IY f IH l
refinanced(2)	r IY f AY n AE n s t
refined	r AH f AY n d
refinements	r IH f AY n m AH n t s
refiner's	r IH f AY n ER z
refineries	r IH f AY n ER IY z
refinish	r IY f IH n IH SH
refinishing	r IY f IH n IH SH IH NG
refitted	r IY f IH t IH d
reflation	r IY f l EY SH AH n
reflectone's	r IY f l EH k t OW n z
reflexively	r IY f l EH k s IH v l IY
refocusing	r IY f OW k AH s IH NG
reforestation	r IY f AO r AH s t EY SH AH n
reforma	r IH f AO r m AH
reformer	r IH f AO r m ER
reforming	r IH f AO r m IH NG
reformists	r IH f AO r m IH s t s
refractors	r AH f r AE k t ER z
refrain	r IH f r EY n
refrained	r IH f r EY n d
refreshed	r IY f r EH SH t
refreshment	r AH f r EH SH m AH n t
refrigerators	r IH f r IH JH ER EY t ER z
refsnes	r EH f s n IY z
refuel	r IY f j UW AH l
refueled	r IY f j UW AH l d
refuges	r EH f j UW JH IH z
refugio	r AH f j UW JH IY OW
refunded	r IH f AH n d IH d
refunders	r IH f AH n d ER z
refunding	r IH f AH n d IH NG
refunds(2)	r IY f AH n d z
refurbishing	r IY f ER b IH SH IH NG
refuse	r AH f j UW z
refuse(3)	r IH f j UW z
refused	r AH f j UW z d
refuses(2)	r IH f j UW z IH z
refutes	r IH f j UW t s
reg	r EH g
regain	r IH g EY n
regaining	r IH g EY n IH NG
regal	r IY g AH l
regales	r IH g EY l z
regaling	r IH g EY l IH NG
regally	r IY g AH l IY
regan	r IY g AH n
regarded	r IH g AA r d IH d
regards	r IH g AA r d z
regen	r EH g AH n
regency's	r IY JH AH n s IY z
regenerate	r IY JH EH n ER EY t
regent	r IY JH AH n t
reger	r IY g ER
reggae	r EH g EY
reggie	r EH JH IY
regimens	r EH JH AH m AH n z
regimental	r EH JH AH m EH n t AH l
regimes(2)	r EY ZH IY m z
reginald's	r EH JH AH n AH l d z
regional	r IY JH AH n AH l
regionalize	r IY JH AH n AH l AY z
registering(2)	r EH JH IH s t r IH NG
registries	r EH JH IH s t r IY z
regress	r IY g r EH s
regret	r AH g r EH t
regrettable	r IH g r EH t AH b AH l
regroup	r IY g r UW p
regular(2)	r EY g j AH l ER
regulatingly	r EH g j AH l EY t IH NG l IY
regulation	r EH g j AH l EY SH AH n
reh	r EH
rehabilitate(2)	r IY AH b IH l AH t EY t
rehabilitated	r IY h AH b IH l AH t EY t IH d
rehabilitation(2)	r IY AH b IH l AH t EY SH AH n
rehabilitative	r IY h AH b IH l AH t EY t IH v
rehashing	r IY h AE SH IH NG
rehearsal	r IH h ER s AH l
rehearse	r IY h ER s
rehearsed	r IY h ER s t
rehfeld	r EH f EH l d
rehire	r IY h AY r
rehiring	r IY h AY r IH NG
rehydration	r IY h AY d r EY SH AH n
reich's	r AY k s
reichart	r IY IH k h AA r t
reichel	r AY k AH l
reichler	r AY k l ER
reichmanns	r AY k m AH n z
reiders	r IY d ER z
reidy	r IY d IY
reierson	r AY ER s AH n
reign	r EY n
reiland	r AY l AH n d
reilly's	r AY l IY z
reim	r IY m
reimbursement	r IY IH m b ER s m AH n t
reimposed	r IY IH m p OW z d
reimposing	r IY IH m p OW z IH NG
rein	r EY n
reina	r EY IY n AH
reinaldo	r EY n AA l d OW
reincorporating	r IY IH n k AO r p ER EY t IH NG
reinders	r AY n d ER z
reinhart's	r AY n h AA r t s
reinholz	r AY n h OW l z
reininger	r AY n IH NG ER
reinitz	r AY n IH t s
reinking	r AY NG k IH NG
reins	r EY n z
reinspect	r IY IH n s p EH k t
reinstall	r IY IH n s t AA l
reinstalled	r IY IH n s t AA l d
reinstating	r IY IH n s t EY t IH NG
reinterpretation	r IY IH n t ER p r AH t EY SH AH n
reintroduce	r IY IH n t r AH d UW s
reintroduction	r IY IH n t r AH d AH k SH AH n
reinvests	r IY IH n v EH s t s
reinvite	r IY IH n v AY t
reisen	r AY s AH n
reiser	r AY s ER
reish	r IY IH SH
reisig	r AY s IH g
reisman	r AY s m AH n
reisner	r AY s n ER
reissman	r AY s m AH n
reissuing	r IY IH SH UW IH NG
reister	r IY IH s t ER
reisz	r AY SH
reiter	r AY t ER
reiterate	r IY IH t ER EY t
reith	r IY TH
reitmeier	r AY t m AY ER
reject(2)	r IY JH EH k t
rejected(2)	r IY JH EH k t IH d
rejecting	r IH JH EH k t IH NG
rejecting(2)	r IY JH EH k t IH NG
rejectionist	r IH JH EH k SH AH n IH s t
rejectionist(2)	r IY JH EH k SH AH n IH s t
rejects(3)	r IH JH EH k s
rejiggering	r IY JH IH g ER IH NG
rejoice	r IH JH OY s
rejoin	r IY JH OY n
rejoined	r IY JH OY n d
rejoins	r IY JH OY n z
rejuvenate	r IH JH UW v AH n EY t
rejuvenates	r IH JH UW v IH n EY t s
rekenthaler(2)	r EH k AH n TH AA l ER
relate(2)	r IY l EY t
related	r IH l EY t IH d
relationships	r IY l EY SH AH n SH IH p s
relative	r EH l AH t IH v
relatively	r EH l AH t IH v l IY
relativity	r EH l AH t IH v AH t IY
relaunch	r IY l AO n CH
relaunched	r IY l AO n CH t
relaxes	r IH l AE k s IH z
relaxing	r IH l AE k s IH NG
relaxing(2)	r IY l AE k s IH NG
relaying	r IY l EY IH NG
relented	r IH l EH n t IH d
relentlessly	r IH l EH n t l AH s l IY
relevancy	r EH l AH v AH n s IY
reliable	r IH l AY AH b AH l
reliable(2)	r IY l AY AH b AH l
reliably(2)	r IY l AY AH b l IY
reliance	r IH l AY AH n s
reliance's	r IH l AY AH n s IH z
reliance's(2)	r IY l AY AH n s IH z
relic	r EH l IH k
relig	r IH l IH JH
religious(2)	r IY l IH JH AH s
relinquish(2)	r IY l IH NG k w IH SH
relinquished(2)	r IY l IH NG k w IH SH t
reloadable	r IY l OW d AH b AH l
reloaded	r IY l OW d IH d
relocating	r IY l OW k EY t IH NG
relondo	r IH l AO n d OW
reloral	r IY l AO r AH l
reluctant(2)	r IY l AH k t AH n t
rely	r IH l AY
rem	r EH m
remake	r IY m EY k
remanufacture(2)	r IY m AE n j AH f AE k CH ER
remarkable(2)	r IY m AA r k AH b AH l
remarketing	r IY m AA r k AH t IH NG
remarks	r IH m AA r k s
remarks(2)	r IY m AA r k s
remarry	r IY m EH r IY
rematch	r IY m AE CH
remediate	r IY m IY d IY AH t
remembering	r IH m EH m b ER IH NG
remerchandise	r IY m ER CH AH n d AY z
remick	r EH m IH k
remics	r EH m IH k s
reminder	r IY m AY n d ER
reminders	r IY m AY n d ER z
reminding	r IY m AY n d IH NG
reminisce	r EH m AH n IH s
remley	r EH m l IY
remlinger	r EH m AH l IH NG ER
remmel	r EH m AH l
remmers	r EH m ER z
remnant	r EH m n AH n t
remodeling(2)	r IH m AA d l IH NG
remold	r IY m OW l d
remorse	r IH m AO r s
remorseful	r IH m AO r s f AH l
remote	r IH m OW t
removable	r IH m UW v AH b AH l
removals	r IH m UW v AH l z
rempe	r EH m p
remuneration	r IH m j UW n ER EY SH AH n
renal	r IY n AH l
rename	r IY n EY m
renationalize	r IY n AE SH AH n AH l AY z
renault's(2)	r AH n OW z
rench	r EH n CH
renda	r EH n d AH
rendering	r EH n d ER IH NG
renderings	r EH n d ER IH NG z
renders	r EH n d ER z
rendition	r EH n d IH SH AH n
renegar	r EH n IH g ER
reneged	r IH n IH g d
renewed	r IH n UW d
renfred	r EH n f ER d
renfro	r EH n f r OW
renfrow	r EH n f r AW
renita	r EH n IY t AH
renminbi	r EH n m IH n b IY
rennert	r EH n ER t
renovatable	r EH n AH v EY t AH b AH l
renovate	r EH n AH v EY t
renovation	r EH n AH v EY SH AH n
renovations	r EH n AH v EY SH AH n z
renowned	r IH n AW n d
renquist	r EH n k w IH s t
renschler	r EH n SH AH l ER
rented	r EH n t IH d
rentfro	r EH n t f r OW
rentier	r EH t IY ER
renton	r EH n t AH n
rentschler	r EH n CH l ER
reny	r IY n IY
renzi	r EH n z IY
reo	r IY OW
reoffended	r IY AO f EH n d IH d
reoffered	r IY AO f ER d
reopened	r IY OW p AH n d
reopening	r IY OW p AH n IH NG
reopens	r IY OW p AH n z
reorganization	r IY AO r g AH n AH z EY SH AH n
repairable	r IH p EH r AH b AH l
repaired	r IH p EH r d
repairman	r IH p EH r m AE n
repairs	r IH p EH r z
repass	r IY p AE s
repatriating	r IY p EY t r IY EY t IH NG
repatriation	r IY p EY t r IY EY SH AH n
repaying	r IY p EY IH NG
repeat(2)	r IY p IY t
repented	r IH p EH n t IH d
repenting	r IH p EH n t IH NG
reperfusion	r EH p ER f j UW ZH AH n
repertory	r EH p ER t AO r IY
repetitive	r IH p EH t IH t IH v
reph	r EH f
repinski	r IH p IH n s k IY
replace	r IY p l EY s
replaced	r IY p l EY s t
replacement	r IH p l EY s m AH n t
replanted	r IY p l AE n t IH d
replanting	r IY p l AE n t IH NG
replay	r IY p l EY
replying	r IH p l AY IH NG
reponse	r IH p AA n s
reportable	r IH p AO r t AH b AH l
reported	r IY p AO r t IH d
reporters'	r IH p AO r t ER z
reporting	r IY p AO r t IH NG
reportorial	r EH p ER t AO r IY AH l
reports'(2)	r IY p AO r t s
reposa	r EH p OW s AH
repositioning	r IY p AH z IH SH AH n IH NG
reppucci	r EH p UW CH IY
representational	r EH p r AH z AH n t EY SH AH n AH l
representative(3)	r EH p r AH z EH n AH t IH v
representatives'	r EH p r AH s EH n t AH t IH v z
reprice	r IY p r AY s
repricing	r IY p r AY s IH NG
reprimand	r EH p r AH m AE n d
reprinted	r IY p r IH n t IH d
reprinting	r IY p r IH n t IH NG
reprisals	r IH p r AY z AH l z
reprobate	r EH p r AO b EY t
reprocess	r IY p r AO s EH s
reproductions	r IY p r AH d AH k SH AH n z
reprogramming	r IY p r OW g r AE m IH NG
reprograms	r IY p r OW g r AE m z
reprographics	r EH p r OW g r AE f IH k s
reptile	r EH p t AY l
republican	r IH p AH b l IH k AH n
republicans'	r IH p AH b l IH k AH n z
repurchased	r IY p ER CH AH s t
reputations	r EH p j AH t EY SH AH n z
repute	r IY p j UW t
reputedly	r IH p j UW t IH d l IY
requa	r EY k w AH
requested(2)	r IY k w EH s t IH d
requests(4)	r IY k w EH s
requiring(2)	r IY k w AY r IH NG
requisite	r EH k w AH z AH t
requisites	r EH k w AH z AH t s
rerouted	r IY r UW t IH d
rerouted(2)	r IY r AW t IH d
resale	r IY s EY l
rescinded	r IH s IH n d IH d
rescue	r EH s k j UW
resealed	r IY s IY l d
reseals	r IY s IY l z
researching	r IY s ER CH IH NG
reseda	r EH s EY d AH
resembled	r IH z EH m b AH l d
resembling	r IH z EH m b AH l IH NG
resembling(3)	r IY z EH m b l IH NG
resend	r IH z EH n d
resent	r IH z EH n t
resentment	r IH z EH n t m AH n t
resents	r IH z EH n t s
reserve's(2)	r IY z ER v z
reserving(2)	r IY z ER v IH NG
reset(2)	r IY s EH t
reshuffle	r IY SH AH f AH l
reside(2)	r IY z AY d
residency	r EH z IH d AH n s IY
residential	r EH z IH d EH n SH AH l
residents	r EH z IH d AH n t s
residual	r IH z IH JH UW AH l
residue	r EH z AH d UW
resign	r IH z AY n
resigned(3)	r IY s AY n d
resin	r EH z AH n
resistance(2)	r IY z IH s t AH n s
resists(3)	r IH z IH s
reso's	r IY s OW z
reso(3)	r IH s OW
resold	r IY s OW l d
resolute	r EH z AH l UW t
resorting	r IH z AO r t IH NG
respect	r IH s p EH k t
respected(2)	r IY s p EH k t IH d
respective(2)	r IY s p EH k t IH v
respectively	r IH s p EH k t IH v l IY
respiratory	r EH s p ER AH t AO r IY
responded	r IH s p AA n d IH d
responding(2)	r IY s p AA n d IH NG
responds(2)	r IY s p AA n d z
ressler	r EH s l ER
restatements	r IY s t EY t m AH n t s
restates	r IY s t EY t s
restaurant	r EH s t ER AA n t
restauranteurs	r EH s t r AA n t ER z
restiveness	r EH s t IH v n AH s
restless	r EH s t l AH s
restocking	r IY s t AA k IH NG
restraining	r IY s t r EY n IH NG
restrains	r IY s t r EY n z
restrictive	r IY s t r IH k t IH v
restructure	r IY s t r AH k CH ER
resubmitted	r IY s AH b m IH t IH d
resubmitting	r IY s AH b m IH t IH NG
resulted(3)	r IY z AH l t IH d
resumes(2)	r IY z UW m z
resuming	r IH z UW m IH NG
resupply	r IY s AH p l AY
resurgent	r IH s ER JH AH n t
resurgent(2)	r IY s ER JH AH n t
resuscitate	r IH s AH s IH t EY t
resuscitate(2)	r IY s AH s IH t EY t
resuscitated	r IH s AH s IH t EY t IH d
retailing	r IY t EY l IH NG
retails	r IY t EY l z
retained(2)	r IY t EY n d
retainer	r IH t EY n ER
retaliating	r IH t AE l IY EY t IH NG
retaliation	r IY t AE l IY EY SH AH n
retard	r IH t AA r d
retarded(3)	r IY t AA r d IH d
retarding	r IH t AA r d IH NG
retell	r IY t EH l
retin	r EH t IH n
retired(2)	r IY t AY ER d
retirement	r IY t AY ER m AH n t
retirement(2)	r IH t AY ER m AH n t
reto	r IY t UW
retouching	r IY t AH CH IH NG
retraced	r IY t r EY s t
retracts	r IY t r AE k t s
retrain	r IY t r EY n
retreading	r IY t r EH d IH NG
retreats	r IY t r IY t s
retrievers	r IY t r IY v ER z
retrieves	r IH t r IY v z
retrocession	r EH t r OW s EH SH AH n
retrograde	r EH t r AH g r EY d
retry	r IY t r AY
retter	r EH t ER
rettke	r EH t k IY
retton	r EH t AH n
return	r IH t ER n
retz	r EH t s
retzloff	r EH t z l AO f
reuber	r OY b ER
reunites	r IY UW n AY t s
reuniting	r IY UW n AY t IH NG
reusser	r OY s ER
reuters'	r OY t ER z
reuther	r OY DH ER
reutter	r OY t ER
revaluations	r IY IH v AE l j UW EY SH AH n z
revalued	r IY v AE l j UW d
revaluing	r IY v AE l j UW IH NG
revamping	r IY v AE m p IH NG
revard	r IH v AA r d
revco	r EH v k OW
revco's	r EH v k OW z
revenuer	r EH v AH n UW ER
revenuer(2)	r EH v AH n j UW ER
reverberate	r IH v ER b ER AH t
reverend(2)	r EH v r AH n d
reverently	r EH v ER AH n t l IY
reverse	r IH v ER s
reversed	r IH v ER s t
reversed(2)	r IY v ER s t
reversing	r IH v ER s IH NG
reviews(2)	r AH v j UW z
reviled	r IY v AY l d
revises	r IH v AY z IH z
revising	r IH v AY z IH NG
revision	r IY v IH ZH AH n
revisionists	r IY v IH ZH AH n IH s t s
revitalized	r IY v AY t AH l AY z d
revived	r IH v AY v d
revived(2)	r IY v AY v d
revives	r IY v AY v z
revlon	r EH v l AA n
revoke	r IH v OW k
revoking(2)	r IY v OW k IH NG
revolted(2)	r IY v OW l t AH d
revolting	r IY v OW l t IH NG
revolucion	r EH v OW l UW s IY OW n
revolutionaries	r EH v AH l UW SH AH n EH r IY z
revolutions	r EH v AH l UW SH AH n z
revord	r IH v AO r d
rewarded(2)	r IY w AO r d AH d
rewarding(2)	r IY w AO r d IH NG
rewired	r IY w AY ER d
rewrite(2)	r IY r AY t
rewriting	r IY r AY t IH NG
rexnord	r EH k s n AO r d
rexon	r EH k s AH n
rexrodt	r EH k s r OW d
reyburn	r EY b ER n
reyes	r EY IH s
reykjavik(2)	r EY k AH v IH k
rezac	r EH z AH k
rhapsodize	r AE p s AH d AY z
rheinberger	r AY n b ER g ER
rhetoric	r EH t ER IH k
rheumatic	r UW m AE t IH k
rhew	r UW
rhineman	r AY n m AH n
rhineman's	r AY n m AH n z
rhinestone	r AY n s t OW n
rhizome	r AY z OW m
rhode-islander	r OW d AY l AH n d ER
rhodesian	r OW d IY ZH AH n
rhome	r OW m
rhorer	r AO r ER
rhymes	r AY m z
ria	r IY AH
riad	r IY AA d
riady	r IY AA d IY
ribar	r IH b AA r
ribbing	r IH b IH NG
rica's	r IY k AH z
ricard	r IH k AA r d
riccardo	r IH k AA r d OW
riccio	r IY CH IY OW
riccitelli	r IY CH IY t EH l IY
rice	r AY s
richa	r IH CH AH
richard	r IH CH ER d
richards	r IH CH ER d z
richardsonsmith	r IH CH ER d s AH n s m IH TH
richaud	r IH SH OW d
richbourg	r IH CH b AO r g
riches(2)	r IH CH IH z
richmond	r IH CH m AH n d
richton	r IH CH t AH n
richts	r IH k t s
rickards	r IH k ER d z
rickenbach	r IH k IH n b AA k
rickenbaker	r IH k IH n b AH k ER
rickers	r IH k ER z
ricketson	r IH k IH t s AH n
ricketts	r IH k IH t s
ricks	r IH k s
rickwood	r IH k w UH d
rico's	r IY k OW z
ricotta	r IY k AA t AH
riddell	r IH d AH l
rideout	r AY d AW t
ridership	r AY d ER SH IH p
ridgley	r IH JH l IY
ridicules	r IH d AH k j UW l z
ridinger	r AY d IH NG ER
ridling	r IH d l IH NG
rieber	r IY b ER
riecke	r IY k
rieders	r IY d ER z
riedlinger	r IY d AH l IH NG ER
rief	r IY f
riege	r IY JH
rieke	r IY k
riel	r IY l
rieman	r IY m AH n
riemenschneider	r IY m IH n SH n AY d ER
riendeau	r AH n d OW
riesling	r IY z l IH NG
rietz	r IY t s
riff	r IH f
riffing	r IH f IH NG
rifled	r AY f AH l d
riflery	r AY f AH l r IY
rigby	r IH g b IY
rigg	r IH g
rigging	r IH g IH NG
riggsbee	r IH g z b IY
righter	r AY t ER
righthanded	r AY t h AE n d IH d
rightist	r AY t IH s t
rightly	r AY t l IY
righto	r AY t OW
rights'	r AY t s
rightwing	r AY t w IH NG
rigidity	r IH JH IH d AH t IY
rigidly	r IH JH IH d l IY
rigorous	r IH g ER AH s
rigsby	r IH g z b IY
rijn	r IY AH n
rike	r AY k
riley	r AY l IY
riley's	r AY l IY z
rillette	r IH l EH t
rim	r IH m
rimpochet	r IH p OW CH IH t
rina	r IY n AH
rinaudo	r IY n AO d OW
rind	r AY n d
rinderer	r IH n d ER ER
rine	r AY n
rinehimer	r AY n h AY m ER
ringberg	r IH NG b ER g
ringe	r IH NG
ringer	r IH NG ER
ringland	r IH NG g l AH n d
ringler	r IH NG g AH l ER
ringneck	r IH NG n EH k
ringquist	r IH NG k w IH s t
rings	r IH NG z
ringstad	r IH NG s t AH d
rink	r IH NG k
rintels	r IH n t EH l z
riojas	r IY OW j AA z
rion	r AY AH n
riopel	r IY AH p EH l
rios	r IY OW s
ripa	r IY p AH
rippling	r IH p AH l IH NG
rippon	r IH p AH n
rises	r AY z AH z
rish	r IH SH
riske's	r IH s k s
riskiest	r IH s k IY AH s t
risley	r IH z l IY
riso	r IY s OW
riss	r IH s
rissler	r IH s l ER
rist	r IH s t
ristau	r IH s t AW
rita	r IY t AH
ritchie's	r IH CH IY z
riter	r AY t ER
rittenberg	r IH t AH n b ER g
rittenberry	r IH t AH n b EH r IY
rittenberry's	r IH t AH n b EH r IY z
rittenour	r IH t AH n AW r
ritter's	r IH t ER z
ritualistically	r IH CH UW AH l IH s t IH k AH l IY
ritzer	r IH t z ER
riunite(2)	r IY UW n AY t IY
rival	r AY v AH l
riven	r IH v AH n
river	r IH v ER
riverdale	r IH v ER d EY l
riverfront	r IH v ER f r AH n t
riverhead	r IH v ER h EH d
rivero	r IY v EH r OW
rivest	r IH v IH s t
rivets	r IH v AH t s
rivett	r IH v IH t
rix	r IH k s
rizo	r IY z OW
rna	AA r EH n EY
roa	r OW AH
roache	r OW CH
roadblock	r OW d b l AA k
roadwork	r OW d w ER k
roady	r OW d IY
roan	r OW n
roane	r OW n
roar	r AO r
roasts	r OW s t s
roback	r OW b AE k
robards	r AA b ER d z
robart	r AA b AA r t
robber	r AA b ER
robbing	r AA b IH NG
robeck	r OW b EH k
robel	r OW b AH l
robers	r OW b ER z
robert	r AA b ER t
robertshaw	r AA b ER t SH AO
robertson's	r AA b ER t s AH n z
robeson	r OW b IH s AH n
robicheaux	r AA b IH SH OW
robideau	r AA b IH d OW
robin's	r AA b AH n z
robitussin(2)	r OW b AH t AH s IH n
robling	r OW b AH l IH NG
robots(2)	r OW b AH t s
robuck	r OW b AH k
robustly	r OW b AH s t l IY
roca	r OW k AH
rocard	r OW k ER d
roccaforte	r OW k AH f AO r t IY
roccas	r AA k AH s
rochon	r AA CH AH n
rock	r AA k
rockabilly	r AA k AH b IH l IY
rockefellers	r AA k AH f EH l ER z
rockel	r AA k AH l
rockers	r AA k ER z
rockin'	r AA k IH n
rockmore	r AA k m AO r
rockrose	r AA k r OW z
rockville	r AA k v IH l
rockwood	r AA k w UH d
rodabaugh	r AA d AH b AO
rodas	r OW d AH z
rodden	r AA d AH n
rodeheaver	r AA d IH h IY v ER
rodenberg	r OW d AH n b ER g
rodenticide	r OW d EH n t IH s AY d
rodney	r AA d n IY
rodocker	r AA d AH k ER
rodriques	r AA d r IY g EH s
rodriquez	r AA d r IY k EH z
roeber	r OW b ER
roecker	r OW k ER
roed	r OW d
roediger	r OW d IH g ER
roehi	r OW IY
roehrs	r AO r z
roeper	r OW p ER
roesel	r OW s AH l
roesler(2)	r OW s l ER
roever	r AA EH v ER
rogala	r OW g AA l AH
rogalla	r OW g AA l AH
roger	r AA JH ER
rogernomics	r OW g ER n AA m IH k s
roggenbuck	r AA g IH n b AH k
roggenkamp	r AA g IH n k AE m p
rogness	r AA g n IH s
rogstad	r AA g s t AH d
rohatyn(2)	r OW h AE t AH n
rohlf	r OW l f
rohlman	r OW l m AH n
rohloff	r OW l AO f
rohm	r OW m
rohmer	r OW m ER
rohr	r AO r
rohrback	r AO r b AE k
rohs	r OW z
roil	r OY l
rolanda	r OW l AA n d AH
role	r OW l
roley	r OW l IY
roling	r OW l IH NG
rolison	r AA l IH s AH n
roll	r OW l
rolla	r AA l AH
rolle	r OW l
rollers	r OW l ER z
rollin'	r OW l IH n
rollins	r AA l IH n z
rollison	r AA l IH s AH n
romaine	r OW m EY n
romances	r OW m AE n s IH z
romanek	r AA m AH n IH k
romanelli	r OW m AA n EH l IY
romaniello	r OW m AA n IY EH l OW
romano's	r OW m AA n OW z
romanones	r OW m AA n OW n z
romantic	r OW m AE n t IH k
romanticism	r OW m AE n t AH s IH z AH m
romero	r OW m EH r OW
romesburg	r OW m z b ER g
romig	r OW m IH g
romina	r AH m IY n AH
romines(2)	r AH m IY n IY z
romm	r AA m
romney's	r AA m n IY z
romping	r AA m p IH NG
romuald	r OW m j UW AA l d
rona	r OW n AH
ronda	r AA n d AH
rondon	r AA n d AH n
rondonia	r AA n d OW n IY AH
rone	r OW n
